title;price;original price;discount;stock;delivery
Silica Gel Sepatu Kamera Tas Elektronik Anti Lembab Anti Jamur Premium - 3 BOX SILICA;27999;57000;51;77;Kota Tangerang Selatan
Compressor Copeland ZR40 / ZR40K3E / ZR40K3E-PFJ-522 3,5PK R407C 220V;3350000;3350000;0;5;Kota Administrasi Jakarta Barat
KOMPRESSOR/COMPRESSOR DANFOSS MTZ18/MTZ18JA5AVE 1 1/2PK R404A 1PHASE;5200000;5200000;0;5;Jakarta Barat
Compressor RECHI 44X2H3K 1,5PK R32 220V;1700000;1700000;0;5;Kota Administrasi Jakarta Barat
KONEKTOR N MALE TERMINATOR 75 OHM;30000;30000;0;99;Jakarta Barat
Compressor Danfoss HCJ121 / HCJ121T4LC6 10PK R410 380V;14000000;14000000;0;3;Kota Administrasi Jakarta Barat
Compressor Danfoss HCJ121 / HCJ121T4LC6 10PK R410 380V;14000000;14000000;0;3;Kota Administrasi Jakarta Barat
KOMPRESOR/COMPRESSOR DANFOSS SM161/SM161T4VC 13PK R22 3PH;8850000;8850000;0;10;Jakarta Barat
LG 55UR7500 Smart TV LED 4K UHD AI ThinQ TV 55 Inch 55UR7500PSC - Tanpa Kayu;5729000;5729000;0;43;Jakarta Utara
vent cap topi 4 inch;190000;190000;0;9717;Jakarta Utara
AC Daikin 1 PK FTC25NV14 MADE IN THAILAND - UNIT SAJA;4679000;4679000;0;134;Kota Surabaya
Latihan Menembak Digital Shoot A Target Elektronik Sasaran Tembak - kacamata;17000;17000;0;30;Jakarta Utara
Baterai Mainan RC, Elektronik 6X 18650 3S 12V 20A 9000mAh HITAM & XH 3;111500;111500;0;434;Jakarta Pusat
Tatakan Solder Meja Kerja Servis Elektronik Working Mat Alas Matras - BESAR 45X30 CM;79000;79000;0;11;Jakarta Barat
BATERAI ELEKTRONIK DRONE 702030 UKURAN 20mm x 30mm KABEL 2 DAN MODEL SOKET BATTERY UNIVERSAL - KABEL 2;27000;27000;0;9;Jakarta Barat
Jincool Sinochem - Freon AC R32 (Kaleng 650gram) Freon Jincool;181900;181900;0;51;Kota Administrasi Jakarta Barat
Hotel Room Linen Spray Air Freshener Pengharum Ruangan Hotel Scent Collection - Citrus Bloom;109900;109900;0;95;Jakarta Selatan
Kabel Toslink Optical Digital SPDIF Audio Fiber Optic UGREEN 1M 2M 3M - TOSLINK PVC, 1 METER;45000;45000;0;36;Kota Administrasi Jakarta Pusat
"Alumunium selang Exhaust 4"" Flexible duct hose ducting";27000;27000;0;99489;Jakarta Utara
Denpoo Air Cooler AR 1108 XF 12 Liter - AR 1107;674000;674000;0;158;Kota Administrasi Jakarta Pusat
AZKO Krisbow Mini Ups Portable Dc Poe 20000 Mah - Hitam Alat Suplai Daya Listrik Penyuplai Listrik Cadangan Perlengkapan Elektronik;539900;599900;10;2;Kota Administrasi Jakarta Barat
kawat Timah Solder 150mm 1.5meter  technologi project elektronik 1.5m;3900;3900;0;420;Kota Bogor
Kartu Elektronik E-Money Brizzi TapCash Flazz JakCard Toll Parkir Special Limited Edition Design Poster Cetak eMoney eToll NFC - Livin' Special;46999;46999;0;876;Kota Depok
box plastik DIY project elektronik box pcb case enlcosure ABS - A. 100x68x40mm;15000;15000;0;973;Kab. Sleman
Tool Kit Set 115 in 1 Obeng Service HP Elektronik Laptop Kamera Tablet - Tool kit 25 in1;39000;39000;0;152;Jakarta Barat
Pengusir Lalat - Pengusir Lalat Berputar 360° Pengusir Serangga Elektronik Bilah Kipas Multi-Fungsi USB - A-QA;52478;180956;71;73;Kab. Tangerang
TEKIRO kunci L set elektronik 7 pcs ukuran 0.71 - 3 mm;22200;22200;0;27149;Jakarta Barat
"AQUA Elektronik LE32AQT32K70M Digital TV 32 Inch HD AQT32K70M  Digital USB Movie LED TV - Tv Digital 32""";1429000;1610000;11;52;Jakarta Barat
Mainan Pop It Elektronik Elektronic Quick Push Fidget Toys Challenge Mainan Keluarga Viral - Picachu Kuning;28500;35000;19;46;Kota Administrasi Jakarta Pusat
remot stb remote stb UNIVERSAL bisa semua merk stb;15000;15000;0;963;Jakarta Timur
Paket Protective Pipe / Cover Pipa AC Rifeng Uk. 1 Meter;173000;173000;0;81;Kota Tangerang
Purific (Machine Only) - Soda maker water Only - by Sodafresh;945000;945000;0;91;Kota Administrasi Jakarta Pusat
LG 32LQ570 Smart TV LED 32 Inch HD HDR 10 Digital WiFi 32LQ570BPSA - Dilayani Seller;2269000;2269000;0;0;Jakarta Utara
Deli Jam Elektronik / Electronic Clock White - Green 8852 - Putih;205000;360000;43;6;Kab. Tangerang
Megacool Megacools Contact Cleaner Pembersih Elektrik Elektronik 500ML;29200;29200;0;9948;Jakarta Timur
Pokemon Card - Uang Elektronik Kartu Flazz BCA Gen 2/ Emoney Mandiri - Brizzi 1 Sisi;68000;68000;0;888;Jakarta Barat
AQUA Elektronik Mesi Cuci QW-870XT 2 Tabung Kpasitas 8 KG - QW-870XT;1779000;1899000;6;26;Kota Administrasi Jakarta Utara
Mainan Pop It Gantungan Kunci Jennie BlackPink Elektronik Cat Paws Pop - Merah Muda;19990;39999;50;99;Kota Administrasi Jakarta Barat
AZKO Krisbow Baterai Super Alkaline AAA Batre Cadangan Batre Battery Bateray Peralatan Elektronik - 12 pcs;69930;99900;30;7;Kota Administrasi Jakarta Pusat
Adaptor 1A 12V Untuk CCTV Dan Elektronik Lainnya - ADAPTOR 1A SPC;13000;13000;0;8;Kota Surabaya
Converter HDMI to AV RCA Support Full HD 1080P / HDMI TO RCA;29999;29999;0;3191;Kota Administrasi Jakarta Utara
"EXAUST DINDING SEKAI WEF 1290 UK 12""";313500;313500;0;8;Kab. Karawang
Interactive Whiteboard 55 inch Education Smart TV Touchscreen;26600000;28000000;5;10;Kota Administrasi Jakarta Utara
AQUA LE32AQT9200M Digital TV 32 Inch HD 32AQT9200 - Kurir Toko - AQT32K70M;1449000;1869000;22;148;Kota Administrasi Jakarta Utara
AZKO Memoo Hair Dryer Travel 600 Watt - Putih/Pink Alat Pengering Rambut Hair Styler Elektronik Kecantikan;149900;149900;0;1;Kota Administrasi Jakarta Barat
Kabel DC 14 Serabut 2 jalur Hitam Merah Murah per meter 1m elektronik - Merah-Hitam;2000;2000;0;537;Kota Depok
AZKO Kris Dessicant Dehumdifier 2 Cloves - Putih Alat Pengatur Kelembapan Udara Mesin Penyerap Kelembaban Elektronik Rumah Tangga;499900;499900;0;2;Kota Administrasi Jakarta Pusat
Kap Lampu Elektronik Neon T8 10w 15w 20w 30w Housing TL UVC T8 Komplit - Kap Saja, 10 watt;40000;40000;0;425;Jakarta Barat
Kuas pembersih halus mini pendek laptop komputer laptop elektronik;3550;3550;0;29;Jakarta Pusat
AZKO Krisbow Stop Kontak & Rel Colokan Surface - Hitam Electric Socket Terminal Colokan Listrik Kotak Kontak Peralatan Elektronik - In Track 100cm;629900;789900;20;1;Kota Administrasi Jakarta Barat
AQUA Elektronik AQR-DTM285RAP(FB) Kulkas 2 Door 225L - Inverter -Turbo cooling - Black shine;3198900;4299000;26;49;Kota Administrasi Jakarta Utara
Box X6 , Box Elektronik X 6 , 18 X 11 X 6 CM;10000;10000;0;2078;Jakarta Barat
AQUA Elektronik AQR-D225 1 pintu 180 L | Semi Auto Defrost - AQR-D225(MLS);2079000;2999000;31;1;Kota Administrasi Jakarta Utara
UNO Minimalist - Uang Elektronik Kartu Flazz BCA Gen 2/ Emoney Mandiri - Flazz 1 Sisi;128000;138000;7;66;Jakarta Barat
Deli Jam Elektronik / Electronic Clock White - Green 8852 - Putih - 8852-WH;205000;305890;33;4;Kab. Tangerang
FLUX CAIR SOLDER ELEKTRONIK MASTERPIECE / MASTER PIECE 10ML ORIGINAL - MASTERPIECE ORI;25000;25000;0;9;Kab. Deli Serdang
AQUA Elektronik Air Conditioner AC AQA-KCR9VRAL 1 PK Inverter UV COOL SMART | With UVC Sterillization;3999000;5499000;27;1;Kota Administrasi Jakarta Utara
speaker 8 ohm 0,5 watt untuk praktek elektronik;8000;8000;0;98046;Jakarta Barat
Stabilizer Samoto stabiliser 2000 VA Stavol Listrik SMT Svc Avr 2000N Elektronik - Bubble;1280000;1280000;0;981;Kota Administrasi Jakarta Barat
